epoch,train_mse,test_mse,train_r2,test_r2,lr
135,0.01317786,0.01584525,0.98682213,0.98317957,0.00100000
136,0.01520683,0.01850858,0.98479319,0.98035127,0.00100000
137,0.01418857,0.01797636,0.98581147,0.98101819,0.00100000
138,0.01430748,0.01668938,0.98569256,0.98235095,0.00100000
139,0.01365495,0.01624548,0.98634505,0.98279834,0.00100000
140,0.01599691,0.01876041,0.98400307,0.98019564,0.00100000
141,0.01377621,0.01652812,0.98622382,0.98245835,0.00100000
142,0.01437051,0.01799383,0.98562950,0.98090667,0.00100000
143,0.01385042,0.01642369,0.98614961,0.98259717,0.00100000
144,0.01315218,0.01567789,0.98684782,0.98341560,0.00100000
145,0.01697225,0.01979429,0.98302776,0.97914535,0.00100000
146,0.01525038,0.01869662,0.98474956,0.98015571,0.00100000
147,0.01442830,0.01791339,0.98557174,0.98099148,0.00100000
148,0.01507810,0.01739672,0.98492193,0.98157066,0.00100000
149,0.01633400,0.02042316,0.98366600,0.97829366,0.00100000
150,0.01365065,0.01698220,0.98634934,0.98197198,0.00100000
151,0.01284712,0.01535460,0.98715281,0.98371673,0.00100000
152,0.01314169,0.01652389,0.98685831,0.98250663,0.00100000
153,0.01275849,0.01625266,0.98724145,0.98276341,0.00100000
154,0.01414310,0.01678577,0.98585689,0.98223454,0.00100000
155,0.01581511,0.01814513,0.98418486,0.98081994,0.00100000
156,0.01341060,0.01623690,0.98658943,0.98280615,0.00100000
157,0.01633648,0.01891979,0.98366350,0.97999483,0.00100000
158,0.01546550,0.01753996,0.98453444,0.98140264,0.00100000
159,0.01452293,0.01803045,0.98547709,0.98096019,0.00100000
160,0.01173614,0.01478546,0.98826385,0.98433566,0.00100000
161,0.01237356,0.01580877,0.98762643,0.98320758,0.00100000
162,0.01354019,0.01642604,0.98645985,0.98262435,0.00100000
163,0.01467176,0.01791263,0.98532820,0.98099911,0.00100000
164,0.01322978,0.01601931,0.98677021,0.98299193,0.00100000
165,0.01458592,0.01682093,0.98541409,0.98221236,0.00100000
166,0.01505239,0.01888130,0.98494756,0.98006803,0.00100000
167,0.01437391,0.01708498,0.98562610,0.98185569,0.00100000
168,0.01380906,0.01672124,0.98619097,0.98227400,0.00100000
169,0.01452613,0.01712778,0.98547387,0.98189330,0.00100000
170,0.01347799,0.01634902,0.98652202,0.98267663,0.00100000
171,0.01409525,0.01762934,0.98590475,0.98129928,0.00100000
172,0.01431833,0.01755532,0.98568165,0.98141289,0.00100000
173,0.01384513,0.01733419,0.98615491,0.98163122,0.00100000
174,0.01327628,0.01673441,0.98672366,0.98226047,0.00100000
175,0.01385072,0.01688094,0.98614931,0.98214263,0.00100000
176,0.01398304,0.01688463,0.98601699,0.98219168,0.00100000
177,0.01331533,0.01645739,0.98668468,0.98261386,0.00100000
178,0.01384270,0.01589475,0.98615730,0.98318124,0.00100000
179,0.01732150,0.01998993,0.98267853,0.97899979,0.00100000
180,0.01405756,0.01712431,0.98594242,0.98185992,0.00100000
181,0.01485470,0.01859447,0.98514533,0.98033196,0.00100000
182,0.01699922,0.02071930,0.98300076,0.97801369,0.00100000
183,0.01914177,0.02120441,0.98085821,0.97767234,0.00100000
184,0.01403576,0.01723588,0.98596424,0.98180562,0.00100000
185,0.01702846,0.02013457,0.98297149,0.97874606,0.00100000
186,0.01346942,0.01647761,0.98653054,0.98249769,0.00100000
187,0.01742892,0.02092800,0.98257107,0.97772336,0.00100000
188,0.01301609,0.01575085,0.98698395,0.98327059,0.00100000
189,0.01486985,0.01765459,0.98513019,0.98133224,0.00100000
190,0.01517997,0.01832615,0.98482001,0.98061383,0.00100000
191,0.01485353,0.01825389,0.98514652,0.98062354,0.00100000
192,0.01434443,0.01767806,0.98565555,0.98128772,0.00100000
193,0.01231840,0.01566000,0.98768163,0.98337984,0.00100000
194,0.01328755,0.01650775,0.98671246,0.98252648,0.00100000
195,0.01777790,0.02121773,0.98222208,0.97761303,0.00100000
196,0.01378975,0.01635971,0.98621023,0.98273534,0.00100000
197,0.01489001,0.01831794,0.98510993,0.98062670,0.00100000
198,0.01406997,0.01741088,0.98593003,0.98151231,0.00100000
199,0.01471099,0.01808940,0.98528898,0.98079365,0.00100000
200,0.01444815,0.01738831,0.98555189,0.98157626,0.00100000
201,0.01491799,0.01773909,0.98508197,0.98122346,0.00100000
202,0.01493186,0.01833467,0.98506814,0.98058659,0.00100000
203,0.01644881,0.01959178,0.98355114,0.97920310,0.00100000
204,0.01650542,0.02059481,0.98349458,0.97829056,0.00100000
205,0.01267091,0.01567942,0.98732907,0.98340112,0.00100000
206,0.01389268,0.01764355,0.98610735,0.98132676,0.00100000
207,0.01467555,0.01792582,0.98532444,0.98107815,0.00100000
208,0.01178955,0.01481655,0.98821044,0.98428416,0.00100000
209,0.01428481,0.01655171,0.98571521,0.98249561,0.00100000
210,0.01490773,0.01748898,0.98509228,0.98152167,0.00100000
211,0.01536583,0.01838231,0.98463416,0.98048168,0.00100000
212,0.01547863,0.01837863,0.98452139,0.98061132,0.00100000
213,0.01306799,0.01614403,0.98693204,0.98285151,0.00100000
214,0.01503081,0.01906696,0.98496914,0.97986853,0.00100000
215,0.01363229,0.01632943,0.98636770,0.98266101,0.00100000
216,0.01401393,0.01708094,0.98598611,0.98192763,0.00100000
217,0.01317991,0.01637705,0.98682004,0.98262411,0.00100000
218,0.01754945,0.01981106,0.98245060,0.97897452,0.00100000
219,0.01472684,0.01797110,0.98527312,0.98092121,0.00100000
220,0.01335871,0.01686455,0.98664129,0.98208243,0.00100000
221,0.01282210,0.01639086,0.98717791,0.98260725,0.00100000
