trial_id,hidden_dims,output,MSE,RMSE,MAE,R2,MaxAbsErr,MeanRelErr%,P95RelErr%,P99RelErr%,MeanBias,StdErr
3,"[64, 128, 64]",Fy,0.041973,0.204874,0.148956,0.954967,1.073167,95.457909,216.403157,1662.464180,-0.003466,0.204844
3,"[64, 128, 64]",Fz,0.002214,0.047053,0.035100,0.997862,0.242863,15.563661,55.324631,246.273934,-0.009181,0.046148
3,"[64, 128, 64]",Torque,0.001038,0.032217,0.025074,0.998923,0.159365,33.966698,39.080607,198.528658,-0.009372,0.030824
94,"[128, 256, 128]",Fx,0.001639,0.040483,0.031371,0.998327,0.183698,12.654454,34.419186,138.365750,-0.002839,0.040383
94,"[128, 256, 128]",Fy,0.040775,0.201928,0.145417,0.956253,1.217413,84.826591,193.830867,1289.866573,-0.005207,0.201861
94,"[128, 256, 128]",Fz,0.002323,0.048201,0.037114,0.997756,0.206433,18.188520,57.799358,308.169360,0.007970,0.047538
94,"[128, 256, 128]",Torque,0.001647,0.040584,0.031906,0.998292,0.201529,32.264156,41.586485,156.557021,0.007002,0.039975
129,"[256, 512, 256]",Fx,0.001056,0.032497,0.025381,0.998922,0.150707,8.973052,28.986658,109.189386,0.002229,0.032421
129,"[256, 512, 256]",Fy,0.042641,0.206496,0.147363,0.954251,1.459182,120.942490,227.540240,1323.874021,0.007969,0.206342
129,"[256, 512, 256]",Fz,0.001853,0.043044,0.032653,0.998211,0.252547,17.574411,65.492441,188.318443,0.000808,0.043036
129,"[256, 512, 256]",Torque,0.000964,0.031053,0.024371,0.999000,0.133523,40.619194,32.465821,155.462065,0.002638,0.030941
274,"[64, 128, 256, 128]",Fx,0.001314,0.036247,0.027541,0.998659,0.177173,12.526373,26.569240,134.248189,-0.002095,0.036187
274,"[64, 128, 256, 128]",Fy,0.041925,0.204755,0.147438,0.955019,1.409807,93.903313,215.405102,1380.710785,0.001163,0.204752
274,"[64, 128, 256, 128]",Fz,0.002130,0.046157,0.034232,0.997942,0.231841,17.413609,50.705273,287.390141,-0.007419,0.045557
274,"[64, 128, 256, 128]",Torque,0.001154,0.033977,0.025958,0.998803,0.198350,33.969868,33.670778,156.533130,-0.007679,0.033098
286,"[64, 128, 256, 128]",Fx,0.001314,0.036250,0.028110,0.998659,0.160167,11.666302,30.355456,158.088643,-0.006046,0.035742
286,"[64, 128, 256, 128]",Fy,0.041794,0.204437,0.145973,0.955159,1.337585,113.272873,216.641080,1267.306320,0.002831,0.204417
286,"[64, 128, 256, 128]",Fz,0.002429,0.049285,0.036344,0.997654,0.223851,19.665298,56.888749,202.661719,-0.015596,0.046753
286,"[64, 128, 256, 128]",Torque,0.001147,0.033865,0.026376,0.998810,0.173395,50.079445,39.018790,210.130891,0.000628,0.033859
117,"[256, 512, 256]",Fx,0.001276,0.035716,0.027160,0.998698,0.180279,13.087052,32.166937,200.494780,-0.005514,0.035288
117,"[256, 512, 256]",Fy,0.042263,0.205580,0.147497,0.954657,1.395829,93.308182,208.669986,1158.180288,-0.004278,0.205535
117,"[256, 512, 256]",Fz,0.002193,0.046828,0.035510,0.997882,0.210409,18.238945,56.917707,265.518272,0.003453,0.046701
117,"[256, 512, 256]",Torque,0.001011,0.031801,0.024438,0.998951,0.132826,30.807461,34.374586,175.485741,-0.000598,0.031795
275,"[64, 128, 256, 128]",Fx,0.001626,0.040322,0.031573,0.998340,0.196595,13.628915,35.672765,149.944153,0.005648,0.039924
275,"[64, 128, 256, 128]",Fy,0.041419,0.203516,0.146108,0.955562,1.271360,125.312225,222.813007,1321.765573,0.009150,0.203310
275,"[64, 128, 256, 128]",Fz,0.002403,0.049015,0.037607,0.997680,0.190485,20.712301,59.236527,256.279295,-0.000503,0.049013
275,"[64, 128, 256, 128]",Torque,0.001301,0.036076,0.028151,0.998650,0.152010,97.979645,40.108256,181.369282,0.006815,0.035426
95,"[128, 256, 128]",Fx,0.000919,0.030314,0.023638,0.999062,0.121947,12.474639,30.717772,130.289795,0.005189,0.029866
95,"[128, 256, 128]",Fy,0.042640,0.206495,0.148752,0.954252,1.237477,87.546547,209.236858,1484.005432,0.003014,0.206473
95,"[128, 256, 128]",Fz,0.002144,0.046305,0.036292,0.997929,0.205426,19.751234,58.641640,223.868670,0.004744,0.046061
95,"[128, 256, 128]",Torque,0.001055,0.032478,0.025809,0.998906,0.122007,82.264656,41.046976,223.180684,0.009654,0.031010
288,"[128, 256, 512, 256]",Fx,0.000787,0.028045,0.022330,0.999197,0.137883,9.814027,23.896846,87.779450,0.003848,0.027780
288,"[128, 256, 512, 256]",Fy,0.043395,0.208316,0.149668,0.953442,1.487261,117.775185,228.492369,1373.393192,0.006409,0.208217
288,"[128, 256, 512, 256]",Fz,0.001839,0.042880,0.032184,0.998224,0.196329,19.114962,51.625798,255.309318,-0.003388,0.042746
288,"[128, 256, 512, 256]",Torque,0.000767,0.027694,0.021621,0.999204,0.133033,40.143879,27.360422,160.079786,0.001543,0.027651
273,"[64, 128, 256, 128]",Fx,0.001073,0.032755,0.025733,0.998905,0.171697,12.991426,29.793451,98.021011,0.008236,0.031703
273,"[64, 128, 256, 128]",Fy,0.042632,0.206475,0.147333,0.954261,1.456734,105.179695,235.050854,1450.837882,-0.012837,0.206075
273,"[64, 128, 256, 128]",Fz,0.002051,0.045291,0.034412,0.998019,0.191679,20.993647,58.379646,213.750046,0.005043,0.045009
273,"[64, 128, 256, 128]",Torque,0.001088,0.032983,0.026250,0.998872,0.116859,68.559639,37.109584,197.503515,0.005804,0.032469
130,"[256, 512, 256]",Fx,0.001227,0.035029,0.026724,0.998747,0.180428,10.443105,32.239573,153.042885,-0.008483,0.033986
130,"[256, 512, 256]",Fy,0.042505,0.206167,0.146353,0.954397,1.389460,96.528038,220.762118,903.627634,-0.016715,0.205488
