rank,hidden_dims,depth,width,lr,weight_decay,dropout,params,best_epoch,total_epochs,n_train,n_test,test_mse,test_rmse,test_mae,test_r2,train_mse,train_r2,overfit_gap,time_sec,Fx_R2,Fx_MAE,Fx_RMSE,Fx_MAPE%,Fy_R2,Fy_MAE,Fy_RMSE,Fy_MAPE%,Fz_R2,Fz_MAE,Fz_RMSE,Fz_MAPE%,Torque_R2,Torque_MAE,Torque_RMSE,Torque_MAPE%
256,"[128, 256, 512, 256]",4,512,0.001000,0.000000,0.100000,305412,132,433,5760,1440,0.012662,0.112525,0.069210,0.986568,0.006081,0.993919,0.007351,259.300000,0.997681,0.038130,0.047666,12.748834,0.954852,0.149440,0.205137,103.066788,0.996338,0.048422,0.061575,24.268221,0.997404,0.040850,0.050031,43.197716
257,"[256, 512, 512, 256]",4,512,0.005000,0.000000,0.200000,541956,321,622,5760,1440,0.012671,0.112565,0.066170,0.986553,0.004221,0.995779,0.009226,373.200000,0.998285,0.031371,0.040991,14.412947,0.954201,0.150175,0.206610,110.062851,0.996235,0.044986,0.062439,22.709560,0.997493,0.038146,0.049167,50.856110
258,"[128, 256, 512, 256, 128]",5,512,0.000100,0.000010,0.200000,338052,745,1046,5760,1440,0.012672,0.112569,0.067006,0.986560,0.003667,0.996333,0.009773,690.400000,0.997914,0.035339,0.045203,16.469585,0.954637,0.147501,0.205624,103.376694,0.996112,0.047212,0.063447,23.335135,0.997576,0.037972,0.048346,81.260712
259,"[128, 256, 512, 256, 128]",5,512,0.005000,0.000000,0.100000,338052,681,982,5760,1440,0.012674,0.112577,0.063403,0.986517,0.002281,0.997719,0.011201,652.800000,0.998621,0.028958,0.036749,11.645988,0.952068,0.150715,0.211365,134.605865,0.996998,0.043027,0.055754,19.080191,0.998382,0.030913,0.039499,79.182594
260,"[64, 128, 256, 128]",4,256,0.000100,0.000010,0.200000,78980,1075,1376,5760,1440,0.012675,0.112583,0.065651,0.986526,0.004968,0.995032,0.008506,792.900000,0.998138,0.032895,0.042705,15.090986,0.953054,0.151070,0.209181,91.568054,0.997011,0.043368,0.055632,23.846104,0.997900,0.035271,0.044997,114.426147
261,"[128, 256, 128]",3,256,0.001000,0.000010,0.200000,73604,436,737,5760,1440,0.012676,0.112587,0.066773,0.986541,0.005349,0.994651,0.008110,383.300000,0.997852,0.035458,0.045870,13.395181,0.953940,0.149837,0.207197,119.994469,0.996619,0.045821,0.059168,26.885857,0.997752,0.035975,0.046560,57.336143
262,"[128, 256, 256, 128, 64]",5,256,0.001000,0.000010,0.000000,148036,640,941,5760,1440,0.012679,0.112600,0.059915,0.986476,0.001459,0.998541,0.012065,630.400000,0.998969,0.024847,0.031776,9.702880,0.950099,0.154459,0.215664,105.531319,0.997986,0.034365,0.045662,19.104868,0.998850,0.025989,0.033304,39.299911
263,"[64, 128, 256, 128, 64]",5,256,0.000100,0.001000,0.100000,87108,547,848,5760,1440,0.012681,0.112610,0.065960,0.986529,0.004507,0.995493,0.008965,544.300000,0.997790,0.036680,0.046527,13.794887,0.953790,0.146115,0.207536,110.771065,0.996935,0.042969,0.056334,23.906874,0.997599,0.038075,0.048109,130.622574
264,"[128, 256, 128]",3,256,0.005000,0.000000,0.200000,73604,452,753,5760,1440,0.012681,0.112611,0.066100,0.986543,0.005109,0.994891,0.008348,390.900000,0.998399,0.030672,0.039608,12.447288,0.953817,0.148160,0.207473,114.107773,0.996011,0.051498,0.064264,29.673925,0.997945,0.034070,0.044508,61.098057
265,"[64, 128, 64]",3,128,0.000100,0.000010,0.100000,20420,1303,1604,5760,1440,0.012682,0.112616,0.065977,0.986520,0.005980,0.994020,0.007500,827.400000,0.998144,0.033480,0.042645,16.153025,0.953055,0.152398,0.209178,91.673744,0.996907,0.043428,0.056589,28.176258,0.997974,0.034603,0.044195,55.108768
