rank,hidden_dims,depth,width,lr,weight_decay,dropout,params,best_epoch,total_epochs,n_train,n_test,test_mse,test_rmse,test_mae,test_r2,train_mse,train_r2,overfit_gap,time_sec,Fx_R2,Fx_MAE,Fx_RMSE,Fx_MAPE%,Fy_R2,Fy_MAE,Fy_RMSE,Fy_MAPE%,Fz_R2,Fz_MAE,Fz_RMSE,Fz_MAPE%,Torque_R2,Torque_MAE,Torque_RMSE,Torque_MAPE%
373,"[128, 256, 512, 256, 128]",5,512,0.000500,0.000100,0.100000,338052,475,776,5760,1440,0.013124,0.114558,0.067453,0.986070,0.004756,0.995244,0.009174,521.100000,0.997633,0.036121,0.048149,12.066820,0.952801,0.150562,0.209744,106.323090,0.996522,0.045256,0.060011,24.627947,0.997322,0.037872,0.050813,37.421745
374,"[64, 128, 64]",3,128,0.000100,0.000010,0.200000,20420,1158,1459,5760,1440,0.013124,0.114560,0.069340,0.986070,0.006788,0.993212,0.007141,792.100000,0.997601,0.037909,0.048473,16.072531,0.952727,0.153846,0.209909,92.806335,0.996425,0.046951,0.060841,23.685026,0.997529,0.038655,0.048814,52.603645
375,"[64, 128, 256, 128]",4,256,0.000100,0.000100,0.000000,78980,541,842,5760,1440,0.013127,0.114574,0.065564,0.986032,0.002690,0.997310,0.011278,483.600000,0.998435,0.030716,0.039148,13.924273,0.950333,0.156444,0.215158,101.254555,0.997058,0.043145,0.055194,24.498247,0.998303,0.031949,0.040451,80.690071
376,"[128, 256, 512, 256, 128]",5,512,0.001000,0.000100,0.200000,338052,1365,1666,5760,1440,0.013130,0.114585,0.068890,0.986081,0.004601,0.995399,0.009318,1123.800000,0.997301,0.039834,0.051419,12.491757,0.953731,0.145550,0.207667,118.691818,0.996048,0.049326,0.063970,20.734804,0.997244,0.040851,0.051547,77.852005
377,"[64, 128, 64]",3,128,0.005000,0.000010,0.200000,20420,783,1084,5760,1440,0.013143,0.114645,0.071546,0.986078,0.007581,0.992419,0.006341,567.500000,0.997033,0.043084,0.053910,14.050879,0.954201,0.149405,0.206610,109.898712,0.995705,0.053597,0.066682,23.494564,0.997373,0.040100,0.050330,90.219795
378,"[64, 128, 256, 128, 64]",5,256,0.000500,0.001000,0.000000,87108,668,969,5760,1440,0.013149,0.114669,0.064158,0.985996,0.004787,0.995214,0.009218,587.700000,0.998033,0.033842,0.043901,12.856157,0.949876,0.154282,0.216146,117.313835,0.997680,0.037953,0.049006,22.003876,0.998395,0.030556,0.039338,31.497705
379,"[64, 128, 256, 256, 128]",5,256,0.001000,0.000010,0.100000,145284,492,793,5760,1440,0.013150,0.114673,0.066561,0.986028,0.004105,0.995896,0.009868,529.400000,0.997510,0.037308,0.049392,12.423882,0.951910,0.151064,0.211714,89.994583,0.996925,0.042865,0.056430,20.444860,0.997767,0.035008,0.046401,23.584715
380,"[256, 512, 512, 256]",4,512,0.001000,0.000010,0.200000,541956,460,761,5760,1440,0.013154,0.114690,0.065933,0.986036,0.003341,0.996659,0.010623,477.500000,0.998343,0.032025,0.040284,12.691565,0.951635,0.149500,0.212318,122.527863,0.995985,0.049408,0.064477,22.503172,0.998179,0.032800,0.041901,49.089191
381,"[64, 128, 64]",3,128,0.005000,0.000000,0.200000,20420,547,848,5760,1440,0.013167,0.114747,0.070465,0.986045,0.007376,0.992624,0.006579,423.400000,0.997542,0.039007,0.049067,16.822927,0.953250,0.152940,0.208743,109.674980,0.995644,0.053456,0.067156,25.213911,0.997743,0.036457,0.046651,83.372726
382,"[128, 256, 256, 128, 64]",5,256,0.000500,0.000000,0.000000,148036,681,982,5760,1440,0.013174,0.114779,0.064821,0.985994,0.001761,0.998240,0.012246,628.400000,0.997882,0.034181,0.045555,10.696751,0.951131,0.151374,0.213423,110.690948,0.996956,0.041069,0.056143,23.370163,0.998008,0.032661,0.043825,27.398649
383,"[64, 128, 64]",3,128,0.005000,0.000000,0.100000,20420,671,972,5760,1440,0.013175,0.114782,0.068122,0.986017,0.005749,0.994251,0.008234,475.800000,0.997608,0.038695,0.048407,12.128266,0.952192,0.152061,0.211093,149.570328,0.996228,0.048162,0.062495,25.427925,0.998039,0.033571,0.043480,66.086815
384,"[64, 128, 256, 128, 64]",5,256,0.000500,0.000000,0.000000,87108,298,599,5760,1440,0.013191,0.114852,0.067033,0.985982,0.003313,0.996687,0.010706,350.100000,0.998076,0.033831,0.043419,15.409939,0.951299,0.154280,0.213056,114.050629,0.996717,0.045102,0.058301,27.810186,0.997835,0.034919,0.045685,34.934689
385,"[128, 256, 512, 256, 128]",5,512,0.005000,0.000000,0.200000,338052,416,717,5760,1440,0.013195,0.114868,0.067415,0.986010,0.004874,0.995126,0.009115,474.100000,0.997966,0.034583,0.044641,14.456565,0.952234,0.151551,0.211000,104.535599,0.995410,0.053691,0.068940,22.780571,0.998432,0.029837,0.038887,80.085213
386,"[256, 512, 512, 256]",4,512,0.000500,0.000100,0.100000,541956,645,946,5760,1440,0.013206,0.114916,0.065307,0.985958,0.003169,0.996831,0.010873,599.600000,0.998200,0.033404,0.041988,10.898507,0.950582,0.152566,0.214619,116.902184,0.996841,0.042731,0.057187,18.435753,0.998207,0.032528,0.041573,25.744770
387,"[128, 256, 512, 256, 128]",5,512,0.000500,0.000000,0.000000,338052,221,522,5760,1440,0.013211,0.114938,0.065378,0.985956,0.003075,0.996925,0.010969,327.200000,0.998361,0.031405,0.040067,12.575744,0.950693,0.151402,0.214376,102.769897,0.996644,0.044928,0.058945,18.924086,0.998127,0.033776,0.042491,18.557123
388,"[64, 128, 256, 128, 64]",5,256,0.001000,0.000000,0.000000,87108,729,1030,5760,1440,0.013220,0.114977,0.064513,0.985928,0.001683,0.998317,0.012389,598.700000,0.998272,0.032201,0.041147,11.407394,0.949801,0.154340,0.216307,91.597794,0.997286,0.040198,0.053013,20.857826,0.998354,0.031313,0.039841,67.963242
389,"[64, 128, 256, 128, 64]",5,256,0.000500,0.000000,0.100000,87108,1018,1319,5760,1440,0.013222,0.114986,0.068784,0.985968,0.004019,0.995981,0.010013,799.200000,0.997138,0.041074,0.052946,14.621151,0.952773,0.149123,0.209807,119.401085,0.996594,0.045467,0.059387,24.902800,0.997367,0.039472,0.050381,77.705849
390,"[256, 512, 512, 256]",4,512,0.000100,0.000010,0.000000,541956,475,776,5760,1440,0.013225,0.114999,0.063188,0.985918,0.001581,0.998419,0.012502,477.400000,0.998610,0.029498,0.036904,12.041460,0.949166,0.154174,0.217671,134.536789,0.997226,0.041001,0.053595,22.910698,0.998668,0.028079,0.035831,18.473650
391,"[128, 256, 256, 128]",4,256,0.000500,0.000010,0.100000,139908,363,664,5760,1440,0.013230,0.115020,0.068700,0.985956,0.004199,0.995801,0.009844,407.400000,0.997482,0.039747,0.049666,13.554872,0.952146,0.151822,0.211193,120.424286,0.996424,0.046424,0.060852,23.732536,0.997774,0.036806,0.046327,48.804741
392,"[64, 128, 128, 64]",4,128,0.000100,0.001000,0.200000,37188,1405,1706,5760,1440,0.013239,0.115060,0.071706,0.985985,0.006004,0.993996,0.008010,951.100000,0.996782,0.044299,0.056147,17.362209,0.954700,0.146877,0.205482,116.098564,0.995651,0.052152,0.067104,31.136377,0.996808,0.043495,0.055471,59.200554
393,"[128, 256, 512, 256, 128]",5,512,0.001000,0.000000,0.100000,338052,402,703,5760,1440,0.013242,0.115076,0.069120,0.985951,0.003437,0.996563,0.010612,463.600000,0.997701,0.038110,0.047460,13.032681,0.952399,0.149007,0.210636,104.056595,0.996041,0.051000,0.064023,21.713346,0.997665,0.038363,0.047443,63.645378
394,"[64, 128, 256, 128, 64]",5,256,0.000500,0.000100,0.100000,87108,655,956,5760,1440,0.013247,0.115095,0.067458,0.985938,0.004010,0.995990,0.010052,597.700000,0.997710,0.036747,0.047362,13.552269,0.951751,0.151501,0.212064,99.441353,0.996236,0.047386,0.062426,25.739347,0.998054,0.034198,0.043311,80.012520
395,"[64, 128, 256, 128]",4,256,0.001000,0.000000,0.200000,78980,693,994,5760,1440,0.013247,0.115098,0.071013,0.985970,0.005206,0.994794,0.008823,568.000000,0.997189,0.042318,0.052475,13.647667,0.953776,0.148542,0.207566,97.128090,0.995468,0.052950,0.068501,21.542662,0.997448,0.040242,0.049599,51.509178
396,"[128, 256, 512, 256]",4,512,0.000500,0.000100,0.100000,305412,261,562,5760,1440,0.013249,0.115106,0.067364,0.985915,0.005335,0.994665,0.008750,347.500000,0.997804,0.036924,0.046384,12.334554,0.951143,0.152929,0.213396,126.020050,0.997019,0.041652,0.055552,22.039125,0.997695,0.037949,0.047140,35.299534
397,"[128, 256, 256, 128]",4,256,0.001000,0.000000,0.100000,139908,422,723,5760,1440,0.013253,0.115120,0.067753,0.985918,0.003750,0.996250,0.010332,418.000000,0.997503,0.039577,0.049458,13.708203,0.951790,0.150254,0.211979,122.594185,0.997038,0.042116,0.055374,21.377897,0.997342,0.039064,0.050623,44.396584
398,"[64, 128, 256, 128]",4,256,0.001000,0.000100,0.200000,78980,460,761,5760,1440,0.013260,0.115153,0.069340,0.985935,0.006618,0.993382,0.007447,455.800000,0.997376,0.038936,0.050699,13.929579,0.952349,0.153923,0.210746,123.216934,0.996004,0.049435,0.064321,22.594303,0.998010,0.035065,0.043806,46.445019
399,"[128, 256, 512, 256, 128]",5,512,0.005000,0.000010,0.200000,338052,1205,1506,5760,1440,0.013263,0.115165,0.068059,0.985917,0.005064,0.994936,0.009019,1021.500000,0.997323,0.039187,0.051206,13.036737,0.951935,0.150274,0.211658,111.087151,0.996633,0.046474,0.059045,25.654177,0.997776,0.036301,0.046301,73.706879
400,"[64, 128, 256, 128]",4,256,0.001000,0.000010,0.100000,78980,344,645,5760,1440,0.013271,0.115199,0.071246,0.985921,0.005766,0.994234,0.008313,378.400000,0.996770,0.044440,0.056253,15.181025,0.953224,0.151996,0.208802,122.734711,0.996666,0.045407,0.058756,23.361143,0.997025,0.043142,0.053556,67.106842
401,"[64, 128, 256, 128]",4,256,0.000500,0.000100,0.100000,78980,304,605,5760,1440,0.013272,0.115206,0.068858,0.985918,0.006230,0.993770,0.007852,350.900000,0.997186,0.040391,0.052503,15.915705,0.952618,0.150454,0.210151,93.636612,0.996409,0.045432,0.060971,20.100153,0.997457,0.039153,0.049517,77.053215
402,"[128, 256, 512, 256]",4,512,0.005000,0.000000,0.100000,305412,366,667,5760,1440,0.013277,0.115226,0.069080,0.985909,0.004162,0.995838,0.009929,437.300000,0.997437,0.040741,0.050111,16.481598,0.952109,0.149601,0.211277,92.308136,0.996338,0.048639,0.061579,27.436453,0.997752,0.037338,0.046549,103.468727
403,"[128, 256, 512, 256, 128]",5,512,0.000500,0.000010,0.200000,338052,596,897,5760,1440,0.013277,0.115226,0.068010,0.985894,0.003328,0.996672,0.010777,595.400000,0.997356,0.039742,0.050895,12.908509,0.951719,0.149117,0.212135,112.203751,0.996971,0.043957,0.056002,23.320839,0.997531,0.039226,0.048790,89.264862
404,"[128, 256, 512, 256, 128]",5,512,0.000500,0.000100,0.200000,338052,952,1253,5760,1440,0.013282,0.115246,0.067172,0.985892,0.003613,0.996387,0.010495,840.100000,0.997437,0.038421,0.050105,11.709824,0.951480,0.151038,0.212658,112.557137,0.996682,0.045018,0.058613,20.442787,0.997970,0.034209,0.044242,47.714287
405,"[64, 128, 256, 128, 64]",5,256,0.000500,0.000010,0.100000,87108,449,750,5760,1440,0.013291,0.115288,0.070768,0.985920,0.005500,0.994500,0.008580,471.200000,0.997007,0.041762,0.054146,14.205469,0.953797,0.150875,0.207519,105.364586,0.995775,0.050703,0.066143,25.291769,0.997101,0.039731,0.052863,56.138477
406,"[128, 256, 512, 256, 128]",5,512,0.001000,0.000000,0.200000,338052,323,624,5760,1440,0.013302,0.115333,0.067410,0.985868,0.005067,0.994933,0.009065,413.600000,0.997536,0.037511,0.049130,15.277987,0.951262,0.152352,0.213135,97.756218,0.996770,0.044076,0.057833,23.540958,0.997903,0.035700,0.044960,49.327583
407,"[256, 512, 256]",3,512,0.005000,0.000010,0.200000,278276,634,935,5760,1440,0.013303,0.115340,0.071504,0.985917,0.007345,0.992655,0.006739,562.200000,0.996853,0.044009,0.055527,13.988515,0.954199,0.148475,0.206614,111.437935,0.995501,0.052277,0.068253,26.598047,0.997114,0.041252,0.052746,32.295586
408,"[128, 256, 256, 128, 64]",5,256,0.000100,0.000010,0.100000,148036,821,1122,5760,1440,0.013317,0.115398,0.069847,0.985877,0.003695,0.996305,0.010427,764.600000,0.997655,0.037031,0.047924,13.935804,0.952392,0.151947,0.210650,102.180588,0.995891,0.052269,0.065226,27.278412,0.997571,0.038141,0.048395,102.160614
409,"[64, 128, 64]",3,128,0.000100,0.000100,0.200000,20420,1184,1485,5760,1440,0.013326,0.115436,0.070555,0.985852,0.006810,0.993190,0.007337,768.300000,0.997737,0.038601,0.047079,16.802586,0.952131,0.153802,0.211226,83.532051,0.996608,0.045162,0.059262,22.031538,0.996933,0.044655,0.054382,105.381630
410,"[128, 256, 256, 128]",4,256,0.001000,0.000100,0.100000,139908,431,732,5760,1440,0.013329,0.115453,0.071015,0.985864,0.006162,0.993838,0.007975,467.100000,0.996643,0.045000,0.057346,12.678123,0.953165,0.150181,0.208933,113.926521,0.996495,0.047726,0.060245,24.765299,0.997151,0.041155,0.052407,51.314430
411,"[64, 128, 128, 64]",4,128,0.000100,0.000010,0.000000,37188,1054,1355,5760,1440,0.013333,0.115469,0.069169,0.985843,0.003786,0.996214,0.010370,776.500000,0.997745,0.036738,0.047000,13.586046,0.951650,0.153207,0.212286,100.710869,0.996467,0.047435,0.060483,24.775955,0.997512,0.039297,0.048982,55.189774
412,"[64, 128, 128, 64]",4,128,0.000500,0.000000,0.100000,37188,602,903,5760,1440,0.013335,0.115477,0.070513,0.985859,0.005343,0.994657,0.008798,536.400000,0.997070,0.043180,0.053577,16.023867,0.952813,0.150699,0.209718,87.505898,0.996178,0.048286,0.062908,27.322109,0.997376,0.039887,0.050300,78.522408
413,"[64, 128, 256, 128, 64]",5,256,0.000100,0.000000,0.100000,87108,800,1101,5760,1440,0.013338,0.115492,0.068751,0.985840,0.004810,0.995190,0.009350,684.300000,0.997611,0.036948,0.048373,14.548964,0.951642,0.153257,0.212302,93.482544,0.996387,0.047901,0.061161,26.074579,0.997718,0.036900,0.046907,133.991470
414,"[128, 256, 128]",3,256,0.005000,0.000100,0.100000,73604,599,900,5760,1440,0.013341,0.115504,0.067797,0.985834,0.009683,0.990317,0.004483,476.100000,0.997559,0.037845,0.048898,13.609115,0.951582,0.151760,0.212434,102.764748,0.996535,0.045867,0.059898,22.351561,0.997658,0.035715,0.047516,41.126186
415,"[64, 128, 256, 256, 128]",5,256,0.000100,0.001000,0.000000,145284,435,736,5760,1440,0.013351,0.115545,0.066447,0.985800,0.002965,0.997035,0.011234,474.700000,0.997678,0.037654,0.047696,11.426139,0.950379,0.152777,0.215059,129.736816,0.997255,0.039770,0.053307,19.149397,0.997888,0.035589,0.045121,48.035351
416,"[64, 128, 256, 256, 128]",5,256,0.000500,0.000000,0.100000,145284,232,533,5760,1440,0.013351,0.115548,0.069406,0.985829,0.006209,0.993791,0.007962,341.800000,0.997846,0.036246,0.045938,16.595743,0.951861,0.154290,0.211821,86.403648,0.996269,0.048197,0.062149,26.528450,0.997340,0.038890,0.050641,58.390007
417,"[128, 256, 512, 256, 128]",5,512,0.005000,0.000100,0.100000,338052,1705,2000,5760,1440,0.013353,0.115555,0.068783,0.985821,0.008195,0.991805,0.005984,1408.800000,0.997501,0.038361,0.049481,12.782567,0.951562,0.153861,0.212479,100.507530,0.996585,0.046055,0.059467,25.620592,0.997636,0.036856,0.047745,78.910553
418,"[64, 128, 128, 64]",4,128,0.005000,0.000010,0.100000,37188,726,1027,5760,1440,0.013353,0.115557,0.069946,0.985837,0.006242,0.993758,0.007921,587.300000,0.996422,0.044832,0.059201,16.313013,0.953253,0.149482,0.208737,111.297256,0.996669,0.044153,0.058731,26.271763,0.997004,0.041319,0.053742,52.638020
419,"[128, 256, 256, 128, 64]",5,256,0.001000,0.000000,0.000000,148036,317,618,5760,1440,0.013360,0.115586,0.065607,0.985787,0.002671,0.997329,0.011542,385.600000,0.998244,0.032354,0.041470,12.455938,0.949918,0.152516,0.216055,124.819649,0.997128,0.041616,0.054529,20.670416,0.997856,0.035943,0.045468,46.042034
420,"[64, 128, 256, 256, 128]",5,256,0.000500,0.000010,0.200000,145284,823,1124,5760,1440,0.013365,0.115607,0.069119,0.985820,0.004801,0.995199,0.009379,747.900000,0.996482,0.044036,0.058706,15.117765,0.952746,0.150434,0.209866,110.219864,0.996700,0.044315,0.058457,20.480732,0.997353,0.037693,0.050522,44.995434
421,"[64, 128, 256, 256, 128]",5,256,0.000500,0.000100,0.100000,145284,458,759,5760,1440,0.013369,0.115623,0.068153,0.985797,0.005029,0.994971,0.009174,505.900000,0.997011,0.041536,0.054109,12.889703,0.951474,0.151128,0.212672,87.031197,0.997020,0.042614,0.055546,18.208906,0.997684,0.037335,0.047250,50.595432
422,"[128, 256, 512, 256, 128]",5,512,0.000500,0.000000,0.200000,338052,351,652,5760,1440,0.013373,0.115641,0.069464,0.985824,0.004883,0.995117,0.009293,419.800000,0.997288,0.039772,0.051548,16.754589,0.952502,0.150609,0.210407,99.521973,0.995782,0.051476,0.066085,21.655910,0.997723,0.035999,0.046855,58.873074
423,"[64, 128, 64]",3,128,0.005000,0.000100,0.100000,20420,491,792,5760,1440,0.013391,0.115720,0.070105,0.985809,0.010477,0.989523,0.003714,419.400000,0.997129,0.040128,0.053037,16.473280,0.952774,0.154110,0.209803,101.037308,0.995697,0.049677,0.066746,28.915777,0.997636,0.036503,0.047741,73.175674
424,"[128, 256, 256, 128]",4,256,0.000500,0.000100,0.100000,139908,512,813,5760,1440,0.013398,0.115751,0.069840,0.985784,0.004306,0.995694,0.009911,511.600000,0.997442,0.040011,0.050061,14.878129,0.951951,0.151610,0.211625,112.249672,0.996219,0.048204,0.062572,23.738518,0.997524,0.039535,0.048860,34.665051
425,"[64, 128, 256, 128, 64]",5,256,0.001000,0.001000,0.200000,87108,1184,1485,5760,1440,0.013408,0.115793,0.071263,0.985790,0.008004,0.991996,0.006206,940.400000,0.996625,0.044747,0.057500,19.157896,0.953249,0.150102,0.208747,84.782524,0.996084,0.049587,0.063675,20.652622,0.997204,0.040614,0.051924,89.070312
426,"[64, 128, 256, 256, 128]",5,256,0.001000,0.000100,0.200000,145284,1209,1510,5760,1440,0.013414,0.115817,0.068658,0.985761,0.004245,0.995755,0.009994,1007.700000,0.997517,0.038643,0.049324,13.394004,0.951379,0.151679,0.212880,126.110588,0.996345,0.047863,0.061519,21.684103,0.997802,0.036448,0.046036,83.789711
427,"[64, 128, 128, 64]",4,128,0.000100,0.000000,0.100000,37188,934,1235,5760,1440,0.013415,0.115824,0.069853,0.985762,0.005778,0.994222,0.008460,679.500000,0.997463,0.038916,0.049849,14.968432,0.951612,0.154768,0.212368,87.148331,0.996275,0.048726,0.062102,25.333883,0.997698,0.037000,0.047109,77.464645
428,"[64, 128, 128, 64]",4,128,0.000100,0.000100,0.000000,37188,597,898,5760,1440,0.013417,0.115833,0.066910,0.985726,0.004157,0.995843,0.010117,533.300000,0.998317,0.032200,0.040609,13.635555,0.949562,0.157682,0.216822,124.141464,0.997002,0.042710,0.055713,27.746223,0.998025,0.035049,0.043634,88.372536
429,"[64, 128, 128, 64]",4,128,0.000100,0.000000,0.000000,37188,682,983,5760,1440,0.013427,0.115877,0.068485,0.985740,0.004364,0.995636,0.009896,543.500000,0.997959,0.035179,0.044714,15.459286,0.950864,0.154959,0.214004,113.842705,0.996325,0.047631,0.061688,26.633791,0.997814,0.036171,0.045908,54.494614
430,"[64, 128, 256, 128, 64]",5,256,0.001000,0.000000,0.100000,87108,493,794,5760,1440,0.013443,0.115946,0.070000,0.985728,0.004888,0.995112,0.009384,477.400000,0.996823,0.043702,0.055787,20.222990,0.951594,0.154481,0.212409,98.798805,0.996686,0.045483,0.058575,21.455832,0.997808,0.036333,0.045967,69.692398
431,"[64, 128, 256, 128]",4,256,0.000500,0.000010,0.200000,78980,523,824,5760,1440,0.013447,0.115960,0.073767,0.985754,0.006065,0.993935,0.008181,475.000000,0.996780,0.046108,0.056165,15.306261,0.953651,0.151165,0.207847,105.239777,0.996005,0.050153,0.064312,25.968872,0.996581,0.047644,0.057413,63.016785
432,"[64, 128, 128, 64]",4,128,0.001000,0.001000,0.200000,37188,1095,1396,5760,1440,0.013454,0.115991,0.070303,0.985739,0.007871,0.992129,0.006390,783.500000,0.996830,0.042959,0.055727,20.848751,0.952728,0.151293,0.209906,100.674416,0.996013,0.047724,0.064247,21.429855,0.997384,0.039238,0.050221,109.941689
433,"[128, 256, 512, 256]",4,512,0.001000,0.000010,0.200000,305412,249,550,5760,1440,0.013462,0.116025,0.070561,0.985724,0.005815,0.994185,0.008461,339.600000,0.996863,0.044513,0.055437,13.537253,0.952460,0.148321,0.210500,113.184616,0.996223,0.049718,0.062531,25.334030,0.997351,0.039692,0.050536,57.726181
434,"[64, 128, 256, 256, 128]",5,256,0.001000,0.000000,0.200000,145284,513,814,5760,1440,0.013468,0.116051,0.071541,0.985734,0.005783,0.994217,0.008483,499.900000,0.996647,0.045162,0.057316,15.823577,0.953268,0.150570,0.208704,91.467392,0.995759,0.050552,0.066267,24.719629,0.997264,0.039880,0.051360,59.914566
435,"[64, 128, 256, 128, 64]",5,256,0.005000,0.000000,0.100000,87108,348,649,5760,1440,0.013487,0.116133,0.070819,0.985689,0.006324,0.993676,0.007987,394.200000,0.996902,0.043253,0.055093,16.993902,0.952241,0.151165,0.210984,97.067619,0.996644,0.046214,0.058944,24.530041,0.996968,0.042644,0.054065,94.739594
436,"[64, 128, 256, 128, 64]",5,256,0.001000,0.000010,0.100000,87108,967,1268,5760,1440,0.013496,0.116170,0.068044,0.985661,0.003672,0.996328,0.010667,787.600000,0.997450,0.039351,0.049984,13.520861,0.950659,0.151155,0.214451,102.543747,0.996819,0.044278,0.057390,23.196938,0.997717,0.037392,0.046914,98.397873
437,"[256, 512, 512, 256]",4,512,0.000500,0.000010,0.200000,541956,514,815,5760,1440,0.013503,0.116202,0.068174,0.985661,0.003302,0.996698,0.011037,513.500000,0.997159,0.039686,0.052756,12.170783,0.951212,0.151781,0.213245,106.785461,0.996743,0.043895,0.058067,21.308229,0.997528,0.037334,0.048818,85.017548
438,"[256, 512, 512, 256]",4,512,0.000500,0.000100,0.200000,541956,829,1130,5760,1440,0.013514,0.116249,0.068404,0.985659,0.004055,0.995945,0.010285,716.700000,0.997210,0.040054,0.052277,11.331970,0.951612,0.150303,0.212370,109.638435,0.996367,0.046796,0.061331,24.871254,0.997449,0.036461,0.049593,37.624504
439,"[128, 256, 256, 128]",4,256,0.000100,0.000010,0.000000,139908,564,865,5760,1440,0.013514,0.116249,0.065606,0.985613,0.001940,0.998060,0.012447,514.700000,0.998411,0.030810,0.039452,12.753247,0.948417,0.159692,0.219268,104.118652,0.997169,0.041594,0.054144,21.354683,0.998455,0.030328,0.038591,33.586987
440,"[128, 256, 256, 128, 64]",5,256,0.000100,0.001000,0.000000,148036,300,601,5760,1440,0.013517,0.116262,0.070847,0.985658,0.004258,0.995742,0.010083,396.100000,0.996908,0.045012,0.055035,16.416327,0.951823,0.151405,0.211905,103.683853,0.996414,0.046446,0.060933,19.609266,0.997487,0.040523,0.049218,37.248676
441,"[128, 256, 256, 128]",4,256,0.005000,0.000010,0.200000,139908,478,779,5760,1440,0.013522,0.116283,0.071058,0.985661,0.008618,0.991382,0.005722,477.300000,0.996736,0.043790,0.056550,13.517004,0.952207,0.152351,0.211059,101.830002,0.996213,0.049839,0.062614,26.906591,0.997487,0.038251,0.049218,89.754387
442,"[128, 256, 128]",3,256,0.005000,0.000010,0.200000,73604,643,944,5760,1440,0.013543,0.116373,0.070441,0.985653,0.008683,0.991317,0.005664,496.600000,0.997310,0.040270,0.051337,14.883390,0.952358,0.152261,0.210726,89.603745,0.995408,0.051406,0.068952,22.951025,0.997536,0.037827,0.048744,44.313675
443,"[128, 256, 256, 128, 64]",5,256,0.001000,0.001000,0.200000,148036,1213,1514,5760,1440,0.013543,0.116374,0.072128,0.985652,0.008406,0.991594,0.005942,1037.200000,0.996842,0.043202,0.055618,19.382120,0.953266,0.149856,0.208709,98.502678,0.995971,0.049899,0.064591,20.812174,0.996528,0.045555,0.057856,100.298912
444,"[128, 256, 512, 256, 128]",5,512,0.000100,0.000100,0.000000,338052,653,954,5760,1440,0.013545,0.116381,0.065276,0.985584,0.001466,0.998534,0.012949,620.400000,0.998233,0.031795,0.041601,10.687968,0.948507,0.157093,0.219077,106.754646,0.997079,0.042477,0.054998,24.513474,0.998519,0.029737,0.037791,40.655777
445,"[128, 256, 512, 256]",4,512,0.000100,0.000000,0.000000,305412,313,614,5760,1440,0.013555,0.116424,0.066451,0.985584,0.002093,0.997907,0.012323,368.000000,0.998155,0.033496,0.042510,14.298388,0.949091,0.156344,0.217831,95.318970,0.996820,0.044152,0.057380,21.298134,0.998269,0.031811,0.040852,34.333897
446,"[128, 256, 256, 128]",4,256,0.000500,0.000010,0.200000,139908,440,741,5760,1440,0.013555,0.116426,0.072785,0.985681,0.005478,0.994522,0.008841,457.300000,0.997386,0.040095,0.050608,17.611269,0.954197,0.149527,0.206619,98.759003,0.994013,0.060368,0.078731,26.772024,0.997128,0.041147,0.052622,42.902542
447,"[128, 256, 256, 128, 64]",5,256,0.005000,0.000010,0.100000,148036,926,1227,5760,1440,0.013555,0.116427,0.070359,0.985626,0.005728,0.994272,0.008646,839.800000,0.997264,0.040119,0.051769,14.225307,0.952130,0.151251,0.211229,121.945877,0.996056,0.049320,0.063904,20.825659,0.997055,0.040746,0.053290,49.029545
448,"[64, 128, 256, 256, 128]",5,256,0.005000,0.000010,0.200000,145284,975,1276,5760,1440,0.013558,0.116437,0.071930,0.985655,0.006779,0.993221,0.007566,845.700000,0.996857,0.043645,0.055485,15.329468,0.953389,0.150620,0.208433,115.818123,0.995037,0.053962,0.071681,21.326023,0.997335,0.039491,0.050690,37.669769
449,"[128, 256, 256, 128]",4,256,0.000100,0.000100,0.000000,139908,337,638,5760,1440,0.013563,0.116460,0.068085,0.985594,0.003045,0.996955,0.011362,379.500000,0.998268,0.032054,0.041197,12.148322,0.949812,0.157269,0.216284,90.308601,0.996113,0.050382,0.063438,27.130787,0.998183,0.032636,0.041854,39.444294
450,"[64, 128, 256, 256, 128]",5,256,0.000500,0.000010,0.000000,145284,539,840,5760,1440,0.013563,0.116462,0.065039,0.985556,0.001588,0.998412,0.012856,550.100000,0.998420,0.031142,0.039341,10.816609,0.948163,0.157617,0.219808,114.163544,0.997381,0.039349,0.052069,20.224874,0.998259,0.032048,0.040973,25.018272
451,"[64, 128, 128, 64]",4,128,0.001000,0.000010,0.100000,37188,696,997,5760,1440,0.013566,0.116473,0.071737,0.985636,0.005540,0.994460,0.008824,580.100000,0.996615,0.044407,0.057581,16.197495,0.953162,0.147203,0.208940,95.959480,0.995551,0.053296,0.067872,27.011843,0.997214,0.042043,0.051824,65.756203
452,"[64, 128, 256, 128]",4,256,0.000100,0.000010,0.000000,78980,359,660,5760,1440,0.013591,0.116579,0.068613,0.985555,0.004033,0.995967,0.010412,375.600000,0.997927,0.035672,0.045069,15.084942,0.949730,0.157590,0.216459,97.326553,0.996677,0.045704,0.058656,24.493162,0.997887,0.035488,0.045130,67.287491
453,"[128, 256, 256, 128]",4,256,0.005000,0.000000,0.200000,139908,698,999,5760,1440,0.013593,0.116591,0.068626,0.985577,0.004116,0.995884,0.010307,592.200000,0.997010,0.039634,0.054125,14.275491,0.951586,0.149466,0.212426,128.627945,0.996405,0.046682,0.061011,19.749647,0.997306,0.038722,0.050960,58.870144
